trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.99}",30,0,-239.75951757901558,"{0: 13, 1: 2, 2: 12, 3: 0, 4: 3}",0
2,False,"{'a': 0.7, 'e': 0.98}",30,0,-277.4182010115874,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 5}",0
3,False,"{'a': 0.7, 'e': 0.97}",20,0,-90.11194843301494,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.96}",20,3,-76.20936619841082,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 2}",1
5,False,"{'a': 0.7, 'e': 0.95}",25,0,-117.90759575926467,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.94}",20,0,-81.42111500736543,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.9299999999999999}",20,0,-123.68140021136546,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.7, 'e': 0.9199999999999999}",20,0,-55.22601383550513,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.9099999999999999}",25,0,-43.855861948705716,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.8999999999999999}",20,0,-149.95239270467857,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.7, 'e': 0.8899999999999999}",20,0,-20.096292023699743,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.8799999999999999}",25,0,-199.9761908436212,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
13,False,"{'a': 0.7, 'e': 0.8699999999999999}",20,3,-143.1122106162679,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 3}",1
14,False,"{'a': 0.7, 'e': 0.8599999999999999}",25,0,-227.33647348159417,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 4}",0
15,False,"{'a': 0.7, 'e': 0.8499999999999999}",25,0,-196.51365230013852,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.7, 'e': 0.8399999999999999}",20,0,-118.65611505618939,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
17,False,"{'a': 0.7, 'e': 0.8299999999999998}",20,0,-78.12612238916557,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
